,Task Name,Start Date,End Date
,DBMS implementation,22. 11. 8.,22. 11. 15.
,Front-end Design,22. 10. 10.,22. 10. 17.
,AI recommandation Design,22. 10. 31.,22. 11. 15.
,Back-end Design,22. 10. 10.,22. 10. 30.
,AI KNN implementation,22. 11. 16.,22. 11. 23.
,AI Face-to-BMI implementation,22. 11. 16.,22. 11. 23.
,Web UI Design,22. 10. 18.,22. 10. 31.
,DBMS design,22. 10. 31.,22. 11. 7.
,Web server Design,22. 10. 31.,22. 11. 7.
,Web server implementation,22. 11. 8.,22. 11. 15.
,Web server test,22. 11. 16.,22. 11. 16.
,Web UI protoryping,22. 11. 8.,22. 11. 13.
,Web UI test,22. 11. 14.,22. 11. 18.
,AI recommandation test,22. 11. 16.,22. 11. 27.
,DBMS test,22. 11. 16.,22. 11. 21.
,Integrated test,22. 11. 28.,22. 12. 2.
,Data post-processing,22. 10. 10.,22. 10. 17.
